Variable,DataType,Label,Plain Description,Target,Encoding
RIDEXPRG,demographics,Pregnancy status at exam,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,Females only 20 YEARS -44 YEARS,"{1: 'Yes, positive lab pregnancy test or self-reported pregnant at exam', 2: 'The participant was not pregnant at exam', 3: 'Cannot ascertain if the participant is pregnant at exam', '.': 'Missing'}"
SIALANG,demographics,Language of SP Interview,Language of the Sample Person Interview Instrument,Both males and females 0 YEARS -150 YEARS,"{1: 'English', 2: 'Spanish', '.': 'Missing'}"
SIAPROXY,demographics,Proxy used in SP Interview?,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,Both males and females 0 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
SIAINTRP,demographics,Interpreter used in SP Interview?,Was an interpreter used to conduct the Sample Person (SP) interview?,Both males and females 0 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
FIALANG,demographics,Language of Family Interview,Language of the Family Interview Instrument,Both males and females 0 YEARS -150 YEARS,"{1: 'English', 2: 'Spanish', '.': 'Missing'}"
FIAPROXY,demographics,Proxy used in Family Interview?,Was a Proxy respondent used in conducting the Family Interview?,Both males and females 0 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
FIAINTRP,demographics,Interpreter used in Family Interview?,Was an interpreter used to conduct the Family interview?,Both males and females 0 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
MIALANG,demographics,Language of MEC Interview,Language of the MEC CAPI Interview Instrument,Both males and females 8 YEARS -150 YEARS,"{1: 'English', 2: 'Spanish', '.': 'Missing'}"
MIAPROXY,demographics,Proxy used in MEC Interview?,Was a Proxy respondent used in conducting the MEC CAPI Interview?,Both males and females 8 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
MIAINTRP,demographics,Interpreter used in MEC Interview?,Was an interpreter used to conduct the MEC CAPI interview?,Both males and females 8 YEARS -150 YEARS,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
AIALANGA,demographics,Language of ACASI Interview,Language of the MEC ACASI Interview Instrument,Both males and females 8 YEARS -69 YEARS,"{1: 'English', 2: 'Spanish', 3: 'Asian languages', '.': 'Missing'}"
DMDHHSIZ,demographics,Total number of people in the Household,Total number of people in the Household,Both males and females 0 YEARS -150 YEARS,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7 or more people in the Household', '.': 'Missing'}"
DMDFMSIZ,demographics,Total number of people in the Family,Total number of people in the Family,Both males and females 0 YEARS -150 YEARS,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7 or more people in the Family', '.': 'Missing'}"
DMDHHSZA,demographics,# of children 5 years or younger in HH,Number of children aged 5 years or younger in the household,Both males and females 0 YEARS -150 YEARS,"{0: '0', 1: '1', 2: '2', 3: '3 or more', '.': 'Missing'}"
DMDHHSZB,demographics,# of children 6-17 years old in HH,Number of children aged 6-17 years old in the household,Both males and females 0 YEARS -150 YEARS,"{0: '0', 1: '1', 2: '2', 3: '3 or more', '.': 'Missing'}"
DMDHHSZE,demographics,# of adults 60 years or older in HH,Number of adults aged 60 years or older in the household,Both males and females 0 YEARS -150 YEARS,"{0: '0', 1: '1', 2: '2', 3: '3 or more', '.': 'Missing'}"
DMDHRGND,demographics,HH ref person's gender,HH reference person's gender,Both males and females 0 YEARS -150 YEARS,"{1: 'Male', 2: 'Female', '.': 'Missing'}"
DMDHRAGZ,demographics,HH ref person's age in years,HH reference person's age in years,Both males and females 0 YEARS -150 YEARS,"{1: '<20 years', 2: '20-39 years', 3: '40-59 years', 4: '60+ years', '.': 'Missing'}"
DMDHREDZ,demographics,HH ref person's education level,HH reference person's education level,Both males and females 0 YEARS -150 YEARS,"{1: 'Less than high school degree', 2: 'High school grad/GED or some college/AA degree', 3: 'College graduate or above', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
DMDHRMAZ,demographics,HH ref person's marital status,HH reference person's marital status,Both males and females 0 YEARS -150 YEARS,"{1: 'Married/Living with partner', 2: 'Widowed/Divorced/Separated', 3: 'Never Married', 77: 'Refused', 99: ""Don't Know"", '.': 'Missing'}"
DMDHSEDZ,demographics,HH ref person's spouse's education level,HH reference person's spouse's education level,Both males and females 0 YEARS -150 YEARS,"{1: 'Less than high school degree', 2: 'High school grad/GED or some college/AA degree', 3: 'College graduate or above', 7: 'Refused', 9: ""Don't Know"", '.': 'Missing'}"
INDHHIN2,demographics,Annual household income,Total household income (reported as a range value in dollars),Both males and females 0 YEARS -150 YEARS,"{1: '$ 0 to $ 4,999', 2: '$ 5,000 to $ 9,999', 3: '$10,000 to $14,999', 4: '$15,000 to $19,999', 5: '$20,000 to $24,999', 6: '$25,000 to $34,999', 7: '$35,000 to $44,999', 8: '$45,000 to $54,999', 9: '$55,000 to $64,999', 10: '$65,000 to $74,999', 12: '$20,000 and Over', 13: 'Under $20,000', 14: '$75,000 to $99,999', 15: '$100,000 and Over', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
INDFMIN2,demographics,Annual family income,Total family income (reported as a range value in dollars),Both males and females 0 YEARS -150 YEARS,"{1: '$ 0 to $ 4,999', 2: '$ 5,000 to $ 9,999', 3: '$10,000 to $14,999', 4: '$15,000 to $19,999', 5: '$20,000 to $24,999', 6: '$25,000 to $34,999', 7: '$35,000 to $44,999', 8: '$45,000 to $54,999', 9: '$55,000 to $64,999', 10: '$65,000 to $74,999', 12: '$20,000 and Over', 13: 'Under $20,000', 14: '$75,000 to $99,999', 15: '$100,000 and Over', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
