Variable Name,Variable Description,Component
DR1TATOC,Vitamin E as alpha-tocopherol (mg),Dietary
DR1TB12A,Added vitamin B12 (mcg),Dietary
DR1TBCAR,Beta-carotene (mcg),Dietary
DR1TCAFF,Caffeine (mg),Dietary
DR1TCARB,Carbohydrate (gm),Dietary
DR1TCHL,Total choline (mg),Dietary
DR1TCHOL,Cholesterol (mg),Dietary
DR1TCOPP,Copper (mg),Dietary
DR1TCRYP,Beta-cryptoxanthin (mcg),Dietary
DR1TFA,Folic acid (mcg),Dietary
DR1TFDFE,Folate as dietary folate equivalents (mcg),Dietary
DR1TFF,Food folate (mcg),Dietary
DR1TFIBE,Dietary fiber (gm),Dietary
DR1TFOLA,Total folate (mcg),Dietary
DR1TIRON,Iron (mg),Dietary
DR1TKCAL,Energy (kcal),Dietary
DR1TLYCO,Lycopene (mcg),Dietary
DR1TLZ,Lutein + zeaxanthin (mcg),Dietary
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),Dietary
DR1TM181,MFA 18:1 (Octadecenoic) (gm),Dietary
DR1TM201,MFA 20:1 (Eicosenoic) (gm),Dietary
DR1TM221,MFA 22:1 (Docosenoic) (gm),Dietary
DR1TMAGN,Magnesium (mg),Dietary
DR1TMFAT,Total monounsaturated fatty acids (gm),Dietary
DR1TMOIS,Moisture (gm),Dietary
DR1TNIAC,Niacin (mg),Dietary
DR1TNUMF,Total number of foods/beverages reported in the individual foods file,Dietary
DR1TP182,PFA 18:2 (Octadecadienoic) (gm),Dietary
DR1TP183,PFA 18:3 (Octadecatrienoic) (gm),Dietary
DR1TP184,PFA 18:4 (Octadecatetraenoic) (gm),Dietary
DR1TP204,PFA 20:4 (Eicosatetraenoic) (gm),Dietary
DR1TP205,PFA 20:5 (Eicosapentaenoic) (gm),Dietary
DR1TP225,PFA 22:5 (Docosapentaenoic) (gm),Dietary
DR1TP226,PFA 22:6 (Docosahexaenoic) (gm),Dietary
DR1TPFAT,Total polyunsaturated fatty acids (gm),Dietary
DR1TPHOS,Phosphorus (mg),Dietary
DR1TPOTA,Potassium (mg),Dietary
DR1TPROT,Protein (gm),Dietary
DR1TRET,Retinol (mcg),Dietary
DR1TS040,SFA 4:0 (Butanoic) (gm),Dietary
DR1TS060,SFA 6:0 (Hexanoic) (gm),Dietary
DR1TS080,SFA 8:0 (Octanoic) (gm),Dietary
DR1TS100,SFA 10:0 (Decanoic) (gm),Dietary
DR1TS120,SFA 12:0 (Dodecanoic) (gm),Dietary
DR1TS140,SFA 14:0 (Tetradecanoic) (gm),Dietary
DR1TS160,SFA 16:0 (Hexadecanoic) (gm),Dietary
DR1TS180,SFA 18:0 (Octadecanoic) (gm),Dietary
DR1TSELE,Selenium (mcg),Dietary
DR1TSFAT,Total saturated fatty acids (gm),Dietary
DR1TSODI,Sodium (mg),Dietary
DR1TSUGR,Total sugars (gm),Dietary
DR1TTFAT,Total fat (gm),Dietary
DR1TTHEO,Theobromine (mg),Dietary
DR1TVARA,Vitamin A as retinol activity equivalents (mcg),Dietary
DR1TVB1,Thiamin (Vitamin B1) (mg),Dietary
DR1TVB12,Vitamin B12 (mcg),Dietary
DR1TVB2,Riboflavin (Vitamin B2) (mg),Dietary
DR1TVB6,Vitamin B6 (mg),Dietary
DR1TVC,Vitamin C (mg),Dietary
DR1TVD,Vitamin D (D2 + D3) (mcg),Dietary
DR1TVK,Vitamin K (mcg),Dietary
DR1TWSZ,"When you drink tap water, what is the main source of the tap water?",Dietary
DR1TZINC,Zinc (mg),Dietary
DRABF,Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.,Dietary
DRD340,"Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.",Dietary
DRD350A,Clams eaten during past 30 days,Dietary
DRD350AQ,Number of times clams were eaten in the past 30 days,Dietary
DRD350B,Crabs eaten during past 30 days,Dietary
DRD350BQ,Number of times crab was eaten in the past 30 days,Dietary
DRD350C,Crayfish eaten during past 30 days,Dietary
DRD350CQ,Number of times crayfish was eaten in the past 30 days,Dietary
DRD350D,Lobsters eaten during past 30 days,Dietary
DRD350DQ,Number of times lobster was eaten in the past 30 days,Dietary
DRD350E,Mussels eaten during past 30 days,Dietary
DRD350EQ,Number of times mussels were eaten in the past 30 days,Dietary
DRD350F,Oysters eaten during past 30 days,Dietary
DRD350FQ,Number of times oysters were eaten in the past 30 days,Dietary
DRD350G,Scallops eaten during the past 30 days,Dietary
DRD350GQ,Number of times scallops were eaten in the past 30 days,Dietary
DRD350H,Shrimp eaten during past 30 days,Dietary
DRD350HQ,Number of times shrimp was eaten in the last 30 days,Dietary
DRD350I,"Other shellfish ( ex. octopus, squid) eaten during past 30 days",Dietary
DRD350IQ,"Number of times other shellfish (ex. octopus, squid) was eaten in the past 30 days",Dietary
DRD350J,Other unknown shellfish eaten during past 30 days,Dietary
DRD350JQ,Number of times other unknown shellfish was eaten in the past 30 days,Dietary
DRD350K,Refused to give detailed information on shellfish eaten during past 30 days,Dietary
DRD360,"Please look at this list of fish. During the past 30 days did you eat any types of fish listed on this card? Include any foods that had fish in them such as sandwiches, soups, or salads.",Dietary
DRD370A,Breaded fish products eaten during past 30 days,Dietary
DRD370AQ,Number of times breaded fish products were eaten in the past 30 days,Dietary
DRD370B,Tuna eaten during past 30 days,Dietary
DRD370BQ,Number of times tuna was eaten in the past 30 days,Dietary
DRD370C,Bass eaten during past 30 days,Dietary
DRD370CQ,Number of times bass was eaten in the past 30 days,Dietary
DRD370D,Catfish eaten during past 30 days,Dietary
DRD370DQ,Number of times catfish was eaten in the past 30 days,Dietary
DRD370E,Cod eaten during past 30 days,Dietary
DRD370EQ,Number of times cod was eaten in the past 30 days,Dietary
DRD370F,Flatfish eaten during past 30 days,Dietary
DRD370FQ,Number of times flatfish was eaten in the past 30 days,Dietary
DRD370G,Haddock eaten during past 30 days,Dietary
DRD370GQ,Number of times haddock was eaten in the past 30 days,Dietary
DRD370H,Mackerel eaten during past 30 days,Dietary
DRD370HQ,Number of times mackerel was eaten in the past 30 days,Dietary
DRD370I,Perch eaten during past 30 days,Dietary
DRD370IQ,Number of times perch was eaten in the past 30 days,Dietary
DRD370J,Pike eaten during past 30 days,Dietary
DRD370JQ,Number of times pike was eaten in the past 30 days,Dietary
DRD370K,Pollock eaten during past 30 days,Dietary
DRD370KQ,Number of times pollock was eaten in the past 30 days,Dietary
DRD370L,Porgy eaten during past 30 days,Dietary
DRD370LQ,Number of times porgy was eaten in the past 30 days,Dietary
DRD370M,Salmon eaten during past 30 days,Dietary
DRD370MQ,Number of times salmon was eaten in the past 30 days,Dietary
DRD370N,Sardines eaten during past 30 days,Dietary
DRD370NQ,Number of times sardines were eaten in the past 30 days,Dietary
DRD370O,Sea bass eaten during past 30 days,Dietary
DRD370OQ,Number of times sea bass was eaten in the past 30 days,Dietary
DRD370P,Shark eaten during past 30 days,Dietary
DRD370PQ,Number of times shark was eaten in the past 30 days,Dietary
DRD370Q,Swordfish eaten during past 30 days,Dietary
DRD370QQ,Number of times swordfish was eaten in the past 30 days,Dietary
DRD370R,Trout eaten during past 30 days,Dietary
DRD370RQ,Number of times trout was eaten in the past 30 days,Dietary
DRD370S,Walleye eaten during the past 30 days,Dietary
DRD370SQ,Number of times walleye was eaten in the past 30 days,Dietary
DRD370T,Other type of fish eaten during past 30 days,Dietary
DRD370TQ,Number of times other type of fish was eaten in the past 30 days,Dietary
DRD370U,Other unknown type eaten during past 30 days,Dietary
DRD370UQ,Number of times other unknown type of fish was eaten in the past 30 days,Dietary
DRD370V,Refused to give detailed information on fish eaten during past 30 days,Dietary
DRDINT,Indicates whether the sample person has intake data for one or two days.,Dietary
DRQSDIET,"Are you currently on any kind of diet, either to lose weight or for some other health-related reason?",Dietary
DRQSDT1,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT10,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT11,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT12,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT2,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT3,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT4,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT5,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT6,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT7,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT8,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT9,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSDT91,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Dietary
DRQSPREP,"How often is ordinary salt or seasoned salt added in cooking or preparing foods in your household?  Is it never, rarely, occasionally, or very often?",Dietary
SEQN,Respondent sequence number.,Dietary
WTDR2D,Dietary two-day sample weight,Dietary
WTDRD1,Dietary day one sample weight,Dietary
DR2_300,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?",Dietary
DR2_320Z,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",Dietary
DR2_330Z,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,Dietary
DR2BWATZ,Total bottled water drank yesterday. (gm),Dietary
DR2DAY,Intake day of the week,Dietary
DR2DBIH,Number of days between intake day and the day of family questionnaire administered in the household.,Dietary
DR2DRSTZ,Dietary recall status,Dietary
DR2EXMER,Interviewer ID code,Dietary
DR2HELP,Who helped in responding for this interview,Dietary
DR2LANG,The respondent spoke mostly:,Dietary
DR2MRESP,Who was the main respondent for this interview?,Dietary
DR2SKY,"What type of salt was it? (Was it ordinary or sea salt, lite salt, or a salt substitute?)",Dietary
DR2STY,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt, lite salt, or a salt substitute.",Dietary
DR2TACAR,Alpha-carotene (mcg),Dietary
DR2TALCO,Alcohol (gm),Dietary
DR2TATOA,Added alpha-tocopherol (Vitamin E) (mg),Dietary
DR2TATOC,Vitamin E as alpha-tocopherol (mg),Dietary
DR2TB12A,Added vitamin B12 (mcg),Dietary
DR2TBCAR,Beta-carotene (mcg),Dietary
DR2TCAFF,Caffeine (mg),Dietary
DR2TCARB,Carbohydrate (gm),Dietary
DR2TCHL,Total choline (mg),Dietary
DR2TCHOL,Cholesterol (mg),Dietary
DR2TCOPP,Copper (mg),Dietary
DR2TCRYP,Beta-cryptoxanthin (mcg),Dietary
DR2TFA,Folic acid (mcg),Dietary
DR2TFDFE,Folate as dietary folate equivalents (mcg),Dietary
DR2TFF,Food folate (mcg),Dietary
DR2TFIBE,Dietary fiber (gm),Dietary
DR2TFOLA,Total folate (mcg),Dietary
DR2TIRON,Iron (mg),Dietary
DR2TKCAL,Energy (kcal),Dietary
DR2TLYCO,Lycopene (mcg),Dietary
DR2TLZ,Lutein + zeaxanthin (mcg),Dietary
DR2TM161,MFA 16:1 (Hexadecenoic) (gm),Dietary
DR2TM181,MFA 18:1 (Octadecenoic) (gm),Dietary
DR2TM201,MFA 20:1 (Eicosenoic) (gm),Dietary
DR2TM221,MFA 22:1 (Docosenoic) (gm),Dietary
DR2TMAGN,Magnesium (mg),Dietary
DR2TMFAT,Total monounsaturated fatty acids (gm),Dietary
DR2TMOIS,Moisture (gm),Dietary
DR2TNIAC,Niacin (mg),Dietary
DR2TNUMF,Total number of foods/beverages reported in the individual foods file,Dietary
DR2TP182,PFA 18:2 (Octadecadienoic) (gm),Dietary
DR2TP183,PFA 18:3 (Octadecatrienoic) (gm),Dietary
DR2TP184,PFA 18:4 (Octadecatetraenoic) (gm),Dietary
DR2TP204,PFA 20:4 (Eicosatetraenoic) (gm),Dietary
DR2TP205,PFA 20:5 (Eicosapentaenoic) (gm),Dietary
DR2TP225,PFA 22:5 (Docosapentaenoic) (gm),Dietary
DR2TP226,PFA 22:6 (Docosahexaenoic) (gm),Dietary
DR2TPFAT,Total polyunsaturated fatty acids (gm),Dietary
DR2TPHOS,Phosphorus (mg),Dietary
DR2TPOTA,Potassium (mg),Dietary
DR2TPROT,Protein (gm),Dietary
DR2TRET,Retinol (mcg),Dietary
DR2TS040,SFA 4:0 (Butanoic) (gm),Dietary
DR2TS060,SFA 6:0 (Hexanoic) (gm),Dietary
DR2TS080,SFA 8:0 (Octanoic) (gm),Dietary
DR2TS100,SFA 10:0 (Decanoic) (gm),Dietary
DR2TS120,SFA 12:0 (Dodecanoic) (gm),Dietary
DR2TS140,SFA 14:0 (Tetradecanoic) (gm),Dietary
DR2TS160,SFA 16:0 (Hexadecanoic) (gm),Dietary
DR2TS180,SFA 18:0 (Octadecanoic) (gm),Dietary
DR2TSELE,Selenium (mcg),Dietary
DR2TSFAT,Total saturated fatty acids (gm),Dietary
DR2TSODI,Sodium (mg),Dietary
DR2TSUGR,Total sugars (gm),Dietary
DR2TTFAT,Total fat (gm),Dietary
DR2TTHEO,Theobromine (mg),Dietary
DR2TVARA,Vitamin A as retinol activity equivalents (mcg),Dietary
DR2TVB1,Thiamin (Vitamin B1) (mg),Dietary
DR2TVB12,Vitamin B12 (mcg),Dietary
DR2TVB2,Riboflavin (Vitamin B2) (mg),Dietary
DR2TVB6,Vitamin B6 (mg),Dietary
DR2TVC,Vitamin C (mg),Dietary
DR2TVD,Vitamin D (D2 + D3) (mcg),Dietary
DR2TVK,Vitamin K (mcg),Dietary
DR2TWSZ,"When you drink tap water, what is the main source of the tap water?",Dietary
DR2TZINC,Zinc (mg),Dietary
DRABF,"Indicates whether the sample person was an infant who was breast-fed on either of the two recall 

days.",Dietary
DRDINT,Indicates whether the sample person has intake data for one or two days.,Dietary
SEQN,Respondent sequence number.,Dietary
WTDR2D,Dietary two-day sample weight,Dietary
WTDRD1,Dietary day one sample weight,Dietary
DR1DAY,Intake day of the week,Dietary
DR1DBIH,# of days b/w intake and HH interview,Dietary
DR1DRSTZ,Dietary recall status,Dietary
DR1EXMER,Interviewer ID code,Dietary
DR1LANG,The respondent spoke mostly:,Dietary
DRDINT,Indicates whether the sample person has intake data for one or two days.,Dietary
DS1ACTSS,Reported serving size/label serving size,Dietary
DS1ANTA,Antacid containing calcium/magnesium,Dietary
DS1ICAFF,Caffeine (mg),Dietary
DS1ICARB,Carbohydrate (gm),Dietary
DS1ICHL,Total choline (mg),Dietary
DS1ICHOL,Cholesterol (mg),Dietary
DS1ICOPP,Copper (mg),Dietary
DS1IFA,Folic acid (mcg),Dietary
DS1IFDFE,"Folate, DFE (mcg)",Dietary
DS1IFIBE,Dietary fiber (gm),Dietary
DS1IIODI,Iodine (mcg),Dietary
DS1IIRON,Iron (mg),Dietary
DS1IKCAL,Energy (kcal),Dietary
DS1ILYCO,Lycopene (mcg),Dietary
DS1ILZ,Lutein + zeaxanthin (mcg),Dietary
DS1IMAGN,Magnesium (mg),Dietary
DS1IMFAT,Total monounsaturated fatty acids (gm),Dietary
DS1INIAC,Niacin (mg),Dietary
DS1IPFAT,Total polyunsaturated fatty acids (gm),Dietary
DS1IPHOS,Phosphorus (mg),Dietary
DS1IPOTA,Potassium (mg),Dietary
DS1IPROT,Protein (gm),Dietary
DS1ISELE,Selenium (mcg),Dietary
DS1ISFAT,Total saturated fatty acids (gm),Dietary
DS1ISODI,Sodium (mg),Dietary
DS1ISUGR,Total sugars (gm),Dietary
DS1ITFAT,Total fat (gm),Dietary
DS1IVB1,Thiamin (Vitamin B1) (mg),Dietary
DS1IVB12,Vitamin B12 (mcg),Dietary
DS1IVB2,Riboflavin (Vitamin B2) (mg),Dietary
DS1IVB6,Vitamin B6 (mg),Dietary
DS1IVC,Vitamin C (mg),Dietary
DS1IVD,Vitamin D (D2 + D3) (mcg),Dietary
DS1IVK,Vitamin K (mcg),Dietary
DS1IZINC,Zinc (mg),Dietary
DS1LOC,Location supplement originally recorded,Dietary
DS1MTCH,DSDMTCH,Dietary
DSDPID,NCHS Supplement ID,Dietary
DSDSUPP,Supplement Name,Dietary
SEQN,Respondent sequence number.,Dietary
WTDR2D,Dietary two-day sample weight,Dietary
WTDRD1,Dietary day one sample weight,Dietary
DSD010,"The next questions are about {your/SP's} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins, minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist, and those that do not require a prescription. This card lists some examples of different types of dietary supplements.",Dietary
DSD010AN,,Dietary
DSDANCNT,Includes all antacids reported with medications.,Dietary
DSDCOUNT,"Includes all supplements and the antacids reported with supplements, but not antacids reported with medications.",Dietary
DSQTCAFF,Caffeine (mg),Dietary
DSQTCARB,Carbohydrate (gm),Dietary
DSQTCHL,Total choline (mg),Dietary
DSQTCHOL,Cholesterol (mg),Dietary
DSQTCOPP,Copper (mg),Dietary
DSQTFA,Folic acid (mcg),Dietary
DSQTFDFE,"Folate, DFE (mcg)",Dietary
DSQTFIBE,Dietary fiber (gm),Dietary
DSQTIODI,Iodine (mcg),Dietary
DSQTIRON,Iron (mg),Dietary
DSQTKCAL,Energy (kcal),Dietary
DSQTLYCO,Lycopene (mcg),Dietary
DSQTLZ,Lutein + zeaxanthin (mcg),Dietary
DSQTMAGN,Magnesium (mg),Dietary
DSQTMFAT,Total monosaturated fatty acids (gm),Dietary
DSQTNIAC,Niacin (mg),Dietary
DSQTPFAT,Total polyunsaturated fatty acids (gm),Dietary
DSQTPHOS,Phosphorus (mg),Dietary
DSQTPOTA,Potassium (mg),Dietary
DSQTPROT,Protein (gm),Dietary
DSQTSELE,Selenium (mcg),Dietary
DSQTSFAT,Total saturated fatty acids (gm),Dietary
DSQTSODI,Sodium (mg),Dietary
DSQTSUGR,Total sugars (gm),Dietary
DSQTTFAT,Total fat (gm),Dietary
DSQTVB1,Thiamin (Vitamin B1) (mg),Dietary
DSQTVB12,Vitamin B12 (mcg),Dietary
DSQTVB2,Riboflavin (Vitamin B2) (mg),Dietary
DSQTVB6,Vitamin B6 (mg),Dietary
DSQTVC,Vitamin C (mg),Dietary
DSQTVD,Vitamin D (D2 + D3) (mcg),Dietary
DSQTVK,Vitamin K (mcg),Dietary
DSQTZINC,Zinc (mg),Dietary
SEQN,Respondent sequence number.,Dietary
DR2DAY,Intake day of the week,Dietary
DR2DBIH,# of days b/w intake and HH interview,Dietary
DR2DRSTZ,Dietary recall status,Dietary
DR2EXMER,Interviewer ID code,Dietary
DR2LANG,The respondent spoke mostly:,Dietary
DRDINT,Indicates whether the sample person has intake data for one or two days.,Dietary
DS2ACTSS,Reported serving size/label serving size,Dietary
DS2ANTA,Antacid containing calcium/magnesium,Dietary
DS2ICAFF,Caffeine (mg),Dietary
DS2ICARB,Carbohydrate (gm),Dietary
DS2ICHL,Total choline (mg),Dietary
DS2ICHOL,Cholesterol (mg),Dietary
DS2ICOPP,Copper (mg),Dietary
DS2IFA,Folic acid (mcg),Dietary
DS2IFDFE,"Folate, DFE (mcg)",Dietary
DS2IFIBE,Dietary fiber (gm),Dietary
DS2IIODI,Iodine (mcg),Dietary
DS2IIRON,Iron (mg),Dietary
DS2IKCAL,Energy (kcal),Dietary
DS2ILYCO,Lycopene (mcg),Dietary
DS2ILZ,Lutein + zeaxanthin (mcg),Dietary
DS2IMAGN,Magnesium (mg),Dietary
DS2IMFAT,Total monounsaturated fatty acids (gm),Dietary
DS2INIAC,Niacin (mg),Dietary
DS2IPFAT,Total polyunsaturated fatty acids (gm),Dietary
DS2IPHOS,Phosphorus (mg),Dietary
DS2IPOTA,Potassium (mg),Dietary
DS2IPROT,Protein (gm),Dietary
DS2ISELE,Selenium (mcg),Dietary
DS2ISFAT,Total saturated fatty acids (gm),Dietary
DS2ISODI,Sodium (mg),Dietary
DS2ISUGR,Total sugars (gm),Dietary
DS2ITFAT,Total fat (gm),Dietary
DS2IVB1,Thiamin (Vitamin B1) (mg),Dietary
DS2IVB12,Vitamin B12 (mcg),Dietary
DS2IVB2,Riboflavin (Vitamin B2) (mg),Dietary
DS2IVB6,Vitamin B6 (mg),Dietary
DS2IVC,Vitamin C (mg),Dietary
DS2IVD,Vitamin D (D2 + D3) (mcg),Dietary
DS2IVK,Vitamin K (mcg),Dietary
DS2IZINC,Zinc (mg),Dietary
DS2LOC,Location supplement originally recorded,Dietary
DS2MTCH,Matching code,Dietary
DSDPID,NCHS Supplement ID,Dietary
DSDSUPP,Supplement Name,Dietary
SEQN,Respondent sequence number.,Dietary
WTDR2D,Dietary two-day sample weight,Dietary
WTDRD1,Dietary day one sample weight,Dietary
DR1DAY,Intake day of the week,Dietary
DR1DBIH,# of days b/w intake and HH interview,Dietary
DR1DRSTZ,Dietary recall status,Dietary
DR1EXMER,Interviewer ID code,Dietary
DR1HELP,Who helped in responding for this interview,Dietary
DR1LANG,The respondent spoke mostly:,Dietary
DR1MRESP,Who was the main respondent for this interview?,Dietary
DRDINT,Indicates whether the sample person has intake data for one or two days.,Dietary
DS1AN,Any Antacids Taken?,Dietary
DS1ANCNT,Total # of Antacids Taken,Dietary
DS1DS,Any Dietary Supplements taken in the past 24 hour?,Dietary
