Variable Name,Component,Variable Description
DR1TCHL,Dietary,Total choline (mg)
DR1TCHOL,Dietary,Cholesterol (mg)
DR1TCOPP,Dietary,Copper (mg)
DR1TCRYP,Dietary,Beta-cryptoxanthin (mcg)
DR1TFA,Dietary,Folic acid (mcg)
DR1TFDFE,Dietary,Folate as dietary folate equivalents (mcg)
DR1TFF,Dietary,Food folate (mcg)
DR1TFIBE,Dietary,Dietary fiber (gm)
DR1TFOLA,Dietary,Total folate (mcg)
DR1TIRON,Dietary,Iron (mg)
DR1TKCAL,Dietary,Energy (kcal)
DR1TLYCO,Dietary,Lycopene (mcg)
DR1TLZ,Dietary,Lutein + zeaxanthin (mcg)
DR1TM161,Dietary,MFA 16:1 (Hexadecenoic) (gm)
DR1TM181,Dietary,MFA 18:1 (Octadecenoic) (gm)
DR1TM201,Dietary,MFA 20:1 (Eicosenoic) (gm)
DR1TM221,Dietary,MFA 22:1 (Docosenoic) (gm)
DR1TMAGN,Dietary,Magnesium (mg)
DR1TMFAT,Dietary,Total monounsaturated fatty acids (gm)
DR1TMOIS,Dietary,Moisture (gm)
DR1TNIAC,Dietary,Niacin (mg)
DR1TNUMF,Dietary,Total number of foods/beverages reported in the individual foods file
DR1TP182,Dietary,PFA 18:2 (Octadecadienoic) (gm)
DR1TP183,Dietary,PFA 18:3 (Octadecatrienoic) (gm)
DR1TP184,Dietary,PFA 18:4 (Octadecatetraenoic) (gm)
DR1TP204,Dietary,PFA 20:4 (Eicosatetraenoic) (gm)
DR1TP205,Dietary,PFA 20:5 (Eicosapentaenoic) (gm)
DR1TP225,Dietary,PFA 22:5 (Docosapentaenoic) (gm)
DR1TP226,Dietary,PFA 22:6 (Docosahexaenoic) (gm)
DR1TPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DR1TPHOS,Dietary,Phosphorus (mg)
DR1TPOTA,Dietary,Potassium (mg)
DR1TPROT,Dietary,Protein (gm)
DR1TRET,Dietary,Retinol (mcg)
DR1TS040,Dietary,SFA 4:0 (Butanoic) (gm)
DR1TS060,Dietary,SFA 6:0 (Hexanoic) (gm)
DR1TS080,Dietary,SFA 8:0 (Octanoic) (gm)
DR1TS100,Dietary,SFA 10:0 (Decanoic) (gm)
DR1TS120,Dietary,SFA 12:0 (Dodecanoic) (gm)
DR1TS140,Dietary,SFA 14:0 (Tetradecanoic) (gm)
DR1TS160,Dietary,SFA 16:0 (Hexadecanoic) (gm)
DR1TS180,Dietary,SFA 18:0 (Octadecanoic) (gm)
DR1TSELE,Dietary,Selenium (mcg)
DR1TSFAT,Dietary,Total saturated fatty acids (gm)
DR1TSODI,Dietary,Sodium (mg)
DR1TSUGR,Dietary,Total sugars (gm)
DR1TTFAT,Dietary,Total fat (gm)
DR1TTHEO,Dietary,Theobromine (mg)
DR1TVARA,Dietary,Vitamin A as retinol activity equivalents (mcg)
DR1TVB1,Dietary,Thiamin (Vitamin B1) (mg)
DR1TVB12,Dietary,Vitamin B12 (mcg)
DR1TVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DR1TVB6,Dietary,Vitamin B6 (mg)
DR1TVC,Dietary,Vitamin C (mg)
DR1TVD,Dietary,Vitamin D (D2 + D3) (mcg)
DR1TVK,Dietary,Vitamin K (mcg)
DR1TWSZ,Dietary,"When you drink tap water, what is the main source of the tap water?"
DR1TZINC,Dietary,Zinc (mg)
DRABF,Dietary,Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.
DRD340,Dietary,"Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads."
DRD350A,Dietary,Clams eaten during past 30 days
DRD350AQ,Dietary,Number of times clams were eaten in the past 30 days
DRD350B,Dietary,Crabs eaten during past 30 days
DRD350BQ,Dietary,Number of times crab was eaten in the past 30 days
DRD350C,Dietary,Crayfish eaten during past 30 days
DRD350CQ,Dietary,Number of times crayfish was eaten in the past 30 days
DRD350D,Dietary,Lobsters eaten during past 30 days
DRD350DQ,Dietary,Number of times lobster was eaten in the past 30 days
DRD350E,Dietary,Mussels eaten during past 30 days
DRD350EQ,Dietary,Number of times mussels were eaten in the past 30 days
DRD350F,Dietary,Oysters eaten during past 30 days
DRD350FQ,Dietary,Number of times oysters were eaten in the past 30 days
DRD350G,Dietary,Scallops eaten during the past 30 days
DRD350GQ,Dietary,Number of times scallops were eaten in the past 30 days
DRD350H,Dietary,Shrimp eaten during past 30 days
DRD350HQ,Dietary,Number of times shrimp was eaten in the last 30 days
DRD350I,Dietary,"Other shellfish ( ex. octopus, squid) eaten during past 30 days"
DRD350IQ,Dietary,"Number of times other shellfish (ex. octopus, squid) was eaten in the past 30 days"
DRD350J,Dietary,Other unknown shellfish eaten during past 30 days
DRD350JQ,Dietary,Number of times other unknown shellfish was eaten in the past 30 days
DRD350K,Dietary,Refused to give detailed information on shellfish eaten during past 30 days
DRD360,Dietary,"Please look at this list of fish. During the past 30 days did you eat any types of fish listed on this card? Include any foods that had fish in them such as sandwiches, soups, or salads."
DRD370A,Dietary,Breaded fish products eaten during past 30 days
DRD370AQ,Dietary,Number of times breaded fish products were eaten in the past 30 days
DRD370B,Dietary,Tuna eaten during past 30 days
DRD370BQ,Dietary,Number of times tuna was eaten in the past 30 days
DRD370C,Dietary,Bass eaten during past 30 days
DRD370CQ,Dietary,Number of times bass was eaten in the past 30 days
DRD370D,Dietary,Catfish eaten during past 30 days
DRD370DQ,Dietary,Number of times catfish was eaten in the past 30 days
DRD370E,Dietary,Cod eaten during past 30 days
DRD370EQ,Dietary,Number of times cod was eaten in the past 30 days
DRD370F,Dietary,Flatfish eaten during past 30 days
DRD370FQ,Dietary,Number of times flatfish was eaten in the past 30 days
DRD370G,Dietary,Haddock eaten during past 30 days
DRD370GQ,Dietary,Number of times haddock was eaten in the past 30 days
DRD370H,Dietary,Mackerel eaten during past 30 days
DRD370HQ,Dietary,Number of times mackerel was eaten in the past 30 days
DRD370I,Dietary,Perch eaten during past 30 days
DRD370IQ,Dietary,Number of times perch was eaten in the past 30 days
DRD370J,Dietary,Pike eaten during past 30 days
DRD370JQ,Dietary,Number of times pike was eaten in the past 30 days
DRD370K,Dietary,Pollock eaten during past 30 days
DRD370KQ,Dietary,Number of times pollock was eaten in the past 30 days
DRD370L,Dietary,Porgy eaten during past 30 days
DRD370LQ,Dietary,Number of times porgy was eaten in the past 30 days
DRD370M,Dietary,Salmon eaten during past 30 days
DRD370MQ,Dietary,Number of times salmon was eaten in the past 30 days
DRD370N,Dietary,Sardines eaten during past 30 days
DRD370NQ,Dietary,Number of times sardines were eaten in the past 30 days
DRD370O,Dietary,Sea bass eaten during past 30 days
DRD370OQ,Dietary,Number of times sea bass was eaten in the past 30 days
DRD370P,Dietary,Shark eaten during past 30 days
DRD370PQ,Dietary,Number of times shark was eaten in the past 30 days
DRD370Q,Dietary,Swordfish eaten during past 30 days
DRD370QQ,Dietary,Number of times swordfish was eaten in the past 30 days
DRD370R,Dietary,Trout eaten during past 30 days
DRD370RQ,Dietary,Number of times trout was eaten in the past 30 days
DRD370S,Dietary,Walleye eaten during the past 30 days
DRD370SQ,Dietary,Number of times walleye was eaten in the past 30 days
DRD370T,Dietary,Other type of fish eaten during past 30 days
DRD370TQ,Dietary,Number of times other type of fish was eaten in the past 30 days
DRD370U,Dietary,Other unknown type eaten during past 30 days
DRD370UQ,Dietary,Number of times other unknown type of fish was eaten in the past 30 days
DRD370V,Dietary,Refused to give detailed information on fish eaten during past 30 days
DRDINT,Dietary,Indicates whether the sample person has intake data for one or two days.
DRQSDIET,Dietary,"Are you currently on any kind of diet, either to lose weight or for some other health-related reason?"
DRQSDT1,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT10,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT11,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT12,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT2,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT3,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT4,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT5,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT6,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT7,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT8,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT9,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSDT91,Dietary,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?)
DRQSPREP,Dietary,"How often is ordinary salt or seasoned salt added in cooking or preparing foods in your household?  Is it never, rarely, occasionally, or very often?"
SEQN,Dietary,Respondent sequence number.
WTDR2D,Dietary,Dietary two-day sample weight
WTDRD1,Dietary,Dietary day one sample weight
DR2_300,Dietary,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?"
DR2_320Z,Dietary,"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water."
DR2_330Z,Dietary,Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.
DR2BWATZ,Dietary,Total bottled water drank yesterday. (gm)
DR2DAY,Dietary,Intake day of the week
DR2DBIH,Dietary,Number of days between intake day and the day of family questionnaire administered in the household.
DR2DRSTZ,Dietary,Dietary recall status
DR2EXMER,Dietary,Interviewer ID code
DR2HELP,Dietary,Who helped in responding for this interview
DR2LANG,Dietary,The respondent spoke mostly:
DR2MRESP,Dietary,Who was the main respondent for this interview?
DR2SKY,Dietary,"What type of salt was it? (Was it ordinary or sea salt, lite salt, or a salt substitute?)"
DR2STY,Dietary,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt, lite salt, or a salt substitute."
DR2TACAR,Dietary,Alpha-carotene (mcg)
DR2TALCO,Dietary,Alcohol (gm)
DR2TATOA,Dietary,Added alpha-tocopherol (Vitamin E) (mg)
DR2TATOC,Dietary,Vitamin E as alpha-tocopherol (mg)
DR2TB12A,Dietary,Added vitamin B12 (mcg)
DR2TBCAR,Dietary,Beta-carotene (mcg)
DR2TCAFF,Dietary,Caffeine (mg)
DR2TCARB,Dietary,Carbohydrate (gm)
DR2TCHL,Dietary,Total choline (mg)
DR2TCHOL,Dietary,Cholesterol (mg)
DR2TCOPP,Dietary,Copper (mg)
DR2TCRYP,Dietary,Beta-cryptoxanthin (mcg)
DR2TFA,Dietary,Folic acid (mcg)
DR2TFDFE,Dietary,Folate as dietary folate equivalents (mcg)
DR2TFF,Dietary,Food folate (mcg)
DR2TFIBE,Dietary,Dietary fiber (gm)
DR2TFOLA,Dietary,Total folate (mcg)
DR2TIRON,Dietary,Iron (mg)
DR2TKCAL,Dietary,Energy (kcal)
DR2TLYCO,Dietary,Lycopene (mcg)
DR2TLZ,Dietary,Lutein + zeaxanthin (mcg)
DR2TM161,Dietary,MFA 16:1 (Hexadecenoic) (gm)
DR2TM181,Dietary,MFA 18:1 (Octadecenoic) (gm)
DR2TM201,Dietary,MFA 20:1 (Eicosenoic) (gm)
DR2TM221,Dietary,MFA 22:1 (Docosenoic) (gm)
DR2TMAGN,Dietary,Magnesium (mg)
DR2TMFAT,Dietary,Total monounsaturated fatty acids (gm)
DR2TMOIS,Dietary,Moisture (gm)
DR2TNIAC,Dietary,Niacin (mg)
DR2TNUMF,Dietary,Total number of foods/beverages reported in the individual foods file
DR2TP182,Dietary,PFA 18:2 (Octadecadienoic) (gm)
DR2TP183,Dietary,PFA 18:3 (Octadecatrienoic) (gm)
DR2TP184,Dietary,PFA 18:4 (Octadecatetraenoic) (gm)
DR2TP204,Dietary,PFA 20:4 (Eicosatetraenoic) (gm)
DR2TP205,Dietary,PFA 20:5 (Eicosapentaenoic) (gm)
DR2TP225,Dietary,PFA 22:5 (Docosapentaenoic) (gm)
DR2TP226,Dietary,PFA 22:6 (Docosahexaenoic) (gm)
DR2TPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DR2TPHOS,Dietary,Phosphorus (mg)
DR2TPOTA,Dietary,Potassium (mg)
DR2TPROT,Dietary,Protein (gm)
DR2TRET,Dietary,Retinol (mcg)
DR2TS040,Dietary,SFA 4:0 (Butanoic) (gm)
DR2TS060,Dietary,SFA 6:0 (Hexanoic) (gm)
DR2TS080,Dietary,SFA 8:0 (Octanoic) (gm)
DR2TS100,Dietary,SFA 10:0 (Decanoic) (gm)
DR2TS120,Dietary,SFA 12:0 (Dodecanoic) (gm)
DR2TS140,Dietary,SFA 14:0 (Tetradecanoic) (gm)
DR2TS160,Dietary,SFA 16:0 (Hexadecanoic) (gm)
DR2TS180,Dietary,SFA 18:0 (Octadecanoic) (gm)
DR2TSELE,Dietary,Selenium (mcg)
DR2TSFAT,Dietary,Total saturated fatty acids (gm)
DR2TSODI,Dietary,Sodium (mg)
DR2TSUGR,Dietary,Total sugars (gm)
DR2TTFAT,Dietary,Total fat (gm)
DR2TTHEO,Dietary,Theobromine (mg)
DR2TVARA,Dietary,Vitamin A as retinol activity equivalents (mcg)
DR2TVB1,Dietary,Thiamin (Vitamin B1) (mg)
DR2TVB12,Dietary,Vitamin B12 (mcg)
DR2TVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DR2TVB6,Dietary,Vitamin B6 (mg)
DR2TVC,Dietary,Vitamin C (mg)
DR2TVD,Dietary,Vitamin D (D2 + D3) (mcg)
DR2TVK,Dietary,Vitamin K (mcg)
DR2TWSZ,Dietary,"When you drink tap water, what is the main source of the tap water?"
DR2TZINC,Dietary,Zinc (mg)
DRABF,Dietary,"Indicates whether the sample person was an infant who was breast-fed on either of the two recall 

days."
DRDINT,Dietary,Indicates whether the sample person has intake data for one or two days.
SEQN,Dietary,Respondent sequence number.
WTDR2D,Dietary,Dietary two-day sample weight
WTDRD1,Dietary,Dietary day one sample weight
DR1DAY,Dietary,Intake day of the week
DR1DBIH,Dietary,# of days b/w intake and HH interview
DR1DRSTZ,Dietary,Dietary recall status
DR1EXMER,Dietary,Interviewer ID code
DR1LANG,Dietary,The respondent spoke mostly:
DRDINT,Dietary,Indicates whether the sample person has intake data for one or two days.
DS1ACTSS,Dietary,Reported serving size/label serving size
DS1ANTA,Dietary,Antacid containing calcium/magnesium
DS1ICAFF,Dietary,Caffeine (mg)
DS1ICARB,Dietary,Carbohydrate (gm)
DS1ICHL,Dietary,Total choline (mg)
DS1ICHOL,Dietary,Cholesterol (mg)
DS1ICOPP,Dietary,Copper (mg)
DS1IFA,Dietary,Folic acid (mcg)
DS1IFDFE,Dietary,"Folate, DFE (mcg)"
DS1IFIBE,Dietary,Dietary fiber (gm)
DS1IIODI,Dietary,Iodine (mcg)
DS1IIRON,Dietary,Iron (mg)
DS1IKCAL,Dietary,Energy (kcal)
DS1ILYCO,Dietary,Lycopene (mcg)
DS1ILZ,Dietary,Lutein + zeaxanthin (mcg)
DS1IMAGN,Dietary,Magnesium (mg)
DS1IMFAT,Dietary,Total monounsaturated fatty acids (gm)
DS1INIAC,Dietary,Niacin (mg)
DS1IPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DS1IPHOS,Dietary,Phosphorus (mg)
DS1IPOTA,Dietary,Potassium (mg)
DS1IPROT,Dietary,Protein (gm)
DS1ISELE,Dietary,Selenium (mcg)
DS1ISFAT,Dietary,Total saturated fatty acids (gm)
DS1ISODI,Dietary,Sodium (mg)
DS1ISUGR,Dietary,Total sugars (gm)
DS1ITFAT,Dietary,Total fat (gm)
DS1IVB1,Dietary,Thiamin (Vitamin B1) (mg)
DS1IVB12,Dietary,Vitamin B12 (mcg)
DS1IVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DS1IVB6,Dietary,Vitamin B6 (mg)
DS1IVC,Dietary,Vitamin C (mg)
DS1IVD,Dietary,Vitamin D (D2 + D3) (mcg)
DS1IVK,Dietary,Vitamin K (mcg)
DS1IZINC,Dietary,Zinc (mg)
DS1LOC,Dietary,Location supplement originally recorded
DS1MTCH,Dietary,DSDMTCH
DSDPID,Dietary,NCHS Supplement ID
DSDSUPP,Dietary,Supplement Name
SEQN,Dietary,Respondent sequence number.
WTDR2D,Dietary,Dietary two-day sample weight
WTDRD1,Dietary,Dietary day one sample weight
DSD010,Dietary,"The next questions are about {your/SP's} use of dietary supplements and medications during the past month. {Have you/Has SP} used or taken any vitamins, minerals or other dietary supplements in the past month? Include those products prescribed by a health professional such as a doctor or dentist, and those that do not require a prescription. This card lists some examples of different types of dietary supplements."
DSD010AN,Dietary,
DSDANCNT,Dietary,Includes all antacids reported with medications.
DSDCOUNT,Dietary,"Includes all supplements and the antacids reported with supplements, but not antacids reported with medications."
DSQTCAFF,Dietary,Caffeine (mg)
DSQTCARB,Dietary,Carbohydrate (gm)
DSQTCHL,Dietary,Total choline (mg)
DSQTCHOL,Dietary,Cholesterol (mg)
DSQTCOPP,Dietary,Copper (mg)
DSQTFA,Dietary,Folic acid (mcg)
DSQTFDFE,Dietary,"Folate, DFE (mcg)"
DSQTFIBE,Dietary,Dietary fiber (gm)
DSQTIODI,Dietary,Iodine (mcg)
DSQTIRON,Dietary,Iron (mg)
DSQTKCAL,Dietary,Energy (kcal)
DSQTLYCO,Dietary,Lycopene (mcg)
DSQTLZ,Dietary,Lutein + zeaxanthin (mcg)
DSQTMAGN,Dietary,Magnesium (mg)
DSQTMFAT,Dietary,Total monosaturated fatty acids (gm)
DSQTNIAC,Dietary,Niacin (mg)
DSQTPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DSQTPHOS,Dietary,Phosphorus (mg)
DSQTPOTA,Dietary,Potassium (mg)
DSQTPROT,Dietary,Protein (gm)
DSQTSELE,Dietary,Selenium (mcg)
DSQTSFAT,Dietary,Total saturated fatty acids (gm)
DSQTSODI,Dietary,Sodium (mg)
DSQTSUGR,Dietary,Total sugars (gm)
DSQTTFAT,Dietary,Total fat (gm)
DSQTVB1,Dietary,Thiamin (Vitamin B1) (mg)
DSQTVB12,Dietary,Vitamin B12 (mcg)
DSQTVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DSQTVB6,Dietary,Vitamin B6 (mg)
DSQTVC,Dietary,Vitamin C (mg)
DSQTVD,Dietary,Vitamin D (D2 + D3) (mcg)
DSQTVK,Dietary,Vitamin K (mcg)
DSQTZINC,Dietary,Zinc (mg)
SEQN,Dietary,Respondent sequence number.
DR2DAY,Dietary,Intake day of the week
DR2DBIH,Dietary,# of days b/w intake and HH interview
DR2DRSTZ,Dietary,Dietary recall status
DR2EXMER,Dietary,Interviewer ID code
DR2LANG,Dietary,The respondent spoke mostly:
DRDINT,Dietary,Indicates whether the sample person has intake data for one or two days.
DS2ACTSS,Dietary,Reported serving size/label serving size
DS2ANTA,Dietary,Antacid containing calcium/magnesium
DS2ICAFF,Dietary,Caffeine (mg)
DS2ICARB,Dietary,Carbohydrate (gm)
DS2ICHL,Dietary,Total choline (mg)
DS2ICHOL,Dietary,Cholesterol (mg)
DS2ICOPP,Dietary,Copper (mg)
DS2IFA,Dietary,Folic acid (mcg)
DS2IFDFE,Dietary,"Folate, DFE (mcg)"
DS2IFIBE,Dietary,Dietary fiber (gm)
DS2IIODI,Dietary,Iodine (mcg)
DS2IIRON,Dietary,Iron (mg)
DS2IKCAL,Dietary,Energy (kcal)
DS2ILYCO,Dietary,Lycopene (mcg)
DS2ILZ,Dietary,Lutein + zeaxanthin (mcg)
DS2IMAGN,Dietary,Magnesium (mg)
DS2IMFAT,Dietary,Total monounsaturated fatty acids (gm)
DS2INIAC,Dietary,Niacin (mg)
DS2IPFAT,Dietary,Total polyunsaturated fatty acids (gm)
DS2IPHOS,Dietary,Phosphorus (mg)
DS2IPOTA,Dietary,Potassium (mg)
DS2IPROT,Dietary,Protein (gm)
DS2ISELE,Dietary,Selenium (mcg)
DS2ISFAT,Dietary,Total saturated fatty acids (gm)
DS2ISODI,Dietary,Sodium (mg)
DS2ISUGR,Dietary,Total sugars (gm)
DS2ITFAT,Dietary,Total fat (gm)
DS2IVB1,Dietary,Thiamin (Vitamin B1) (mg)
DS2IVB12,Dietary,Vitamin B12 (mcg)
DS2IVB2,Dietary,Riboflavin (Vitamin B2) (mg)
DS2IVB6,Dietary,Vitamin B6 (mg)
DS2IVC,Dietary,Vitamin C (mg)
DS2IVD,Dietary,Vitamin D (D2 + D3) (mcg)
DS2IVK,Dietary,Vitamin K (mcg)
DS2IZINC,Dietary,Zinc (mg)
DS2LOC,Dietary,Location supplement originally recorded
DS2MTCH,Dietary,Matching code
DSDPID,Dietary,NCHS Supplement ID
DSDSUPP,Dietary,Supplement Name
SEQN,Dietary,Respondent sequence number.
WTDR2D,Dietary,Dietary two-day sample weight
WTDRD1,Dietary,Dietary day one sample weight
DR1DAY,Dietary,Intake day of the week
