Variable,Encoding
DRQSDT11,"{11: 'Gluten-free/Celiac diet', '.': 'Missing'}"
DRQSDT12,"{12: 'Renal/Kidney diet', '.': 'Missing'}"
DRQSDT91,"{91: 'Other special diet', '.': 'Missing'}"
DR1TNUMF,{'.': 'Missing'}
DR1TKCAL,{'.': 'Missing'}
DR1TPROT,{'.': 'Missing'}
DR1TCARB,{'.': 'Missing'}
DR1TSUGR,{'.': 'Missing'}
DR1TFIBE,{'.': 'Missing'}
DR1TTFAT,{'.': 'Missing'}
DR1TSFAT,{'.': 'Missing'}
DR1TMFAT,{'.': 'Missing'}
DR1TPFAT,{'.': 'Missing'}
DR1TCHOL,{'.': 'Missing'}
DR1TATOC,{'.': 'Missing'}
DR1TATOA,{'.': 'Missing'}
DR1TRET,{'.': 'Missing'}
DR1TVARA,{'.': 'Missing'}
DR1TACAR,{'.': 'Missing'}
DR1TBCAR,{'.': 'Missing'}
DR1TCRYP,{'.': 'Missing'}
DR1TLYCO,{'.': 'Missing'}
DR1TLZ,{'.': 'Missing'}
DR1TVB1,{'.': 'Missing'}
DR1TVB2,{'.': 'Missing'}
DR1TNIAC,{'.': 'Missing'}
DR1TVB6,{'.': 'Missing'}
DR1TFOLA,{'.': 'Missing'}
DR1TFA,{'.': 'Missing'}
DR1TFF,{'.': 'Missing'}
DR1TFDFE,{'.': 'Missing'}
DR1TCHL,{'.': 'Missing'}
DR1TVB12,{'.': 'Missing'}
DR1TB12A,{'.': 'Missing'}
DR1TVC,{'.': 'Missing'}
DR1TVD,{'.': 'Missing'}
DR1TVK,{'.': 'Missing'}
DR1TPHOS,{'.': 'Missing'}
DR1TMAGN,{'.': 'Missing'}
DR1TIRON,{'.': 'Missing'}
DR1TZINC,{'.': 'Missing'}
DR1TCOPP,{'.': 'Missing'}
DR1TSODI,{'.': 'Missing'}
DR1TPOTA,{'.': 'Missing'}
DR1TSELE,{'.': 'Missing'}
DR1TCAFF,{'.': 'Missing'}
DR1TTHEO,{'.': 'Missing'}
DR1TALCO,{'.': 'Missing'}
DR1TMOIS,{'.': 'Missing'}
DR1TS040,{'.': 'Missing'}
DR1TS060,{'.': 'Missing'}
DR1TS080,{'.': 'Missing'}
DR1TS100,{'.': 'Missing'}
DR1TS120,{'.': 'Missing'}
DR1TS140,{'.': 'Missing'}
DR1TS160,{'.': 'Missing'}
DR1TS180,{'.': 'Missing'}
DR1TM161,{'.': 'Missing'}
DR1TM181,{'.': 'Missing'}
DR1TM201,{'.': 'Missing'}
DR1TM221,{'.': 'Missing'}
DR1TP182,{'.': 'Missing'}
DR1TP183,{'.': 'Missing'}
DR1TP184,{'.': 'Missing'}
DR1TP204,{'.': 'Missing'}
DR1TP205,{'.': 'Missing'}
DR1TP225,{'.': 'Missing'}
DR1TP226,{'.': 'Missing'}
DR1_300,"{1: 'Much more than usual', 2: 'Usual', 3: 'Much less than usual', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DR1_320Z,{'.': 'Missing'}
DR1_330Z,{'.': 'Missing'}
DR1BWATZ,{'.': 'Missing'}
DR1TWSZ,"{1: 'Community supply', 4: ""Don't drink tap water"", 91: 'Other', 99: ""Don't know"", '.': 'Missing'}"
DRD340,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DRD350A,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350AQ,{'.': 'Missing'}
DRD350B,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350BQ,{'.': 'Missing'}
DRD350C,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350CQ,{'.': 'Missing'}
DRD350D,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350DQ,{'.': 'Missing'}
DRD350E,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350EQ,{'.': 'Missing'}
DRD350F,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350FQ,{'.': 'Missing'}
DRD350G,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350GQ,{'.': 'Missing'}
DRD350H,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350HQ,{'.': 'Missing'}
DRD350I,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350IQ,{'.': 'Missing'}
DRD350J,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD350JQ,{'.': 'Missing'}
DRD350K,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD360,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DRD370A,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370AQ,{'.': 'Missing'}
DRD370B,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370BQ,{'.': 'Missing'}
DRD370C,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370CQ,{'.': 'Missing'}
DRD370D,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370DQ,{'.': 'Missing'}
DRD370E,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370EQ,{'.': 'Missing'}
DRD370F,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370FQ,{'.': 'Missing'}
DRD370G,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370GQ,{'.': 'Missing'}
DRD370H,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370HQ,{'.': 'Missing'}
DRD370I,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370IQ,{'.': 'Missing'}
DRD370J,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370JQ,{'.': 'Missing'}
DRD370K,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370KQ,{'.': 'Missing'}
DRD370L,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370LQ,{'.': 'Missing'}
DRD370M,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370MQ,{'.': 'Missing'}
DRD370N,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370NQ,{'.': 'Missing'}
DRD370O,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370OQ,{'.': 'Missing'}
DRD370P,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370PQ,{'.': 'Missing'}
DRD370Q,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370QQ,{'.': 'Missing'}
DRD370R,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370RQ,{'.': 'Missing'}
DRD370S,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370SQ,{'.': 'Missing'}
DRD370T,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370TQ,{'.': 'Missing'}
DRD370U,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DRD370UQ,{'.': 'Missing'}
DRD370V,"{1: 'Yes', 2: 'No', '.': 'Missing'}"
DR2DRSTZ,"{1: 'Reliable and met the minimum criteria', 2: 'Not reliable or not met the minimum criteria', 4: 'Reported consuming breast-milk', 5: 'Not done', '.': 'Missing'}"
DR2EXMER,{'.': 'Missing'}
DR2DBIH,{'.': 'Missing'}
DR2DAY,"{1: 'Sunday', 2: 'Monday', 3: 'Tuesday', 4: 'Wednesday', 5: 'Thursday', 6: 'Friday', 7: 'Saturday', '.': 'Missing'}"
DR2LANG,"{1: 'English', 2: 'Spanish', 3: 'English and Spanish', 4: 'Other', 5: 'Asian Languages', 6: 'Asian Languages and English', '.': 'Missing'}"
DR2MRESP,"{1: 'SP', 2: 'Mother of SP', 3: 'Father of SP', 5: 'Spouse of SP', 6: 'Child of SP', 7: 'Grandparent of SP', 8: 'Friend, Partner, Non Relative', 9: 'Translator, not a HH member', 10: 'Child care provider, Caretaker', 11: 'Other Relative', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DR2HELP,"{1: 'SP', 4: 'Parent of SP', 5: 'Spouse of SP', 6: 'Child of SP', 7: 'Grandparent of SP', 8: 'Friend, Partner, Non Relative', 9: 'Translator, not a HH member', 10: 'Child care provider, Caretaker', 11: 'Other Relative', 12: 'No One', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DR2TNUMF,{'.': 'Missing'}
DR2STY,"{1: 'Yes', 2: 'No', 9: ""Don't know"", '.': 'Missing'}"
DR2SKY,"{1: 'Ordinary, sea, seasoned, or other flavored salt', 2: 'Lite salt', 3: 'Salt substitute', 91: 'Other', 99: ""Don't know"", '.': 'Missing'}"
DR2TKCAL,{'.': 'Missing'}
DR2TPROT,{'.': 'Missing'}
DR2TCARB,{'.': 'Missing'}
DR2TSUGR,{'.': 'Missing'}
DR2TFIBE,{'.': 'Missing'}
DR2TTFAT,{'.': 'Missing'}
DR2TSFAT,{'.': 'Missing'}
DR2TMFAT,{'.': 'Missing'}
DR2TPFAT,{'.': 'Missing'}
DR2TCHOL,{'.': 'Missing'}
DR2TATOC,{'.': 'Missing'}
DR2TATOA,{'.': 'Missing'}
DR2TRET,{'.': 'Missing'}
DR2TVARA,{'.': 'Missing'}
DR2TACAR,{'.': 'Missing'}
DR2TBCAR,{'.': 'Missing'}
DR2TCRYP,{'.': 'Missing'}
DR2TLYCO,{'.': 'Missing'}
DR2TLZ,{'.': 'Missing'}
DR2TVB1,{'.': 'Missing'}
DR2TVB2,{'.': 'Missing'}
DR2TNIAC,{'.': 'Missing'}
DR2TVB6,{'.': 'Missing'}
DR2TFOLA,{'.': 'Missing'}
DR2TFA,{'.': 'Missing'}
DR2TFF,{'.': 'Missing'}
DR2TFDFE,{'.': 'Missing'}
DR2TCHL,{'.': 'Missing'}
DR2TVB12,{'.': 'Missing'}
DR2TB12A,{'.': 'Missing'}
DR2TVC,{'.': 'Missing'}
DR2TVD,{'.': 'Missing'}
DR2TVK,{'.': 'Missing'}
DR2TPHOS,{'.': 'Missing'}
DR2TMAGN,{'.': 'Missing'}
DR2TIRON,{'.': 'Missing'}
DR2TZINC,{'.': 'Missing'}
DR2TCOPP,{'.': 'Missing'}
DR2TSODI,{'.': 'Missing'}
DR2TPOTA,{'.': 'Missing'}
DR2TSELE,{'.': 'Missing'}
DR2TCAFF,{'.': 'Missing'}
DR2TTHEO,{'.': 'Missing'}
DR2TALCO,{'.': 'Missing'}
DR2TMOIS,{'.': 'Missing'}
DR2TS040,{'.': 'Missing'}
DR2TS060,{'.': 'Missing'}
DR2TS080,{'.': 'Missing'}
DR2TS100,{'.': 'Missing'}
DR2TS120,{'.': 'Missing'}
DR2TS140,{'.': 'Missing'}
DR2TS160,{'.': 'Missing'}
DR2TS180,{'.': 'Missing'}
DR2TM161,{'.': 'Missing'}
DR2TM181,{'.': 'Missing'}
DR2TM201,{'.': 'Missing'}
DR2TM221,{'.': 'Missing'}
DR2TP182,{'.': 'Missing'}
DR2TP183,{'.': 'Missing'}
DR2TP184,{'.': 'Missing'}
DR2TP204,{'.': 'Missing'}
DR2TP205,{'.': 'Missing'}
DR2TP225,{'.': 'Missing'}
DR2TP226,{'.': 'Missing'}
DR2_300,"{1: 'Much more than usual', 2: 'Usual', 3: 'Much less than usual', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DR2_320Z,{'.': 'Missing'}
DR2_330Z,{'.': 'Missing'}
DR2BWATZ,{'.': 'Missing'}
DR2TWSZ,"{1: 'Community supply', 4: ""Don't drink tap water"", 91: 'Other', 99: ""Don't know"", '.': 'Missing'}"
DS1DSCNT,{'.': 'Missing'}
DS1DS,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DS1ANCNT,{'.': 'Missing'}
DS1AN,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DS1TKCAL,{'.': 'Missing'}
DS1TPROT,{'.': 'Missing'}
DS1TCARB,{'.': 'Missing'}
DS1TSUGR,{'.': 'Missing'}
DS1TFIBE,{'.': 'Missing'}
DS1TTFAT,{'.': 'Missing'}
DS1TSFAT,{'.': 'Missing'}
DS1TMFAT,{'.': 'Missing'}
DS1TPFAT,{'.': 'Missing'}
DS1TCHOL,{'.': 'Missing'}
DS1TLYCO,{'.': 'Missing'}
DS1TLZ,{'.': 'Missing'}
DS1TVB1,{'.': 'Missing'}
DS1TVB2,{'.': 'Missing'}
DS1TNIAC,{'.': 'Missing'}
DS1TVB6,{'.': 'Missing'}
DS1TVB12,{'.': 'Missing'}
DS1TFA,{'.': 'Missing'}
DS1TFDFE,{'.': 'Missing'}
DS1TCHL,{'.': 'Missing'}
DS1TVC,{'.': 'Missing'}
DS1TVK,{'.': 'Missing'}
DS1TVD,{'.': 'Missing'}
DS1TPHOS,{'.': 'Missing'}
DS1TMAGN,{'.': 'Missing'}
DS1TIRON,{'.': 'Missing'}
DS1TZINC,{'.': 'Missing'}
DS1TCOPP,{'.': 'Missing'}
DS1TSODI,{'.': 'Missing'}
DS1TPOTA,{'.': 'Missing'}
DS1TSELE,{'.': 'Missing'}
DS1TCAFF,{'.': 'Missing'}
DS1TIODI,{'.': 'Missing'}
DS2DSCNT,{'.': 'Missing'}
DS2DS,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DS2ANCNT,{'.': 'Missing'}
DS2AN,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DS2TKCAL,{'.': 'Missing'}
DS2TPROT,{'.': 'Missing'}
DS2TCARB,{'.': 'Missing'}
DS2TSUGR,{'.': 'Missing'}
DS2TFIBE,{'.': 'Missing'}
DS2TTFAT,{'.': 'Missing'}
DS2TSFAT,{'.': 'Missing'}
DS2TMFAT,{'.': 'Missing'}
DS2TPFAT,{'.': 'Missing'}
DS2TCHOL,{'.': 'Missing'}
DS2TLYCO,{'.': 'Missing'}
DS2TLZ,{'.': 'Missing'}
DS2TVB1,{'.': 'Missing'}
DS2TVB2,{'.': 'Missing'}
DS2TNIAC,{'.': 'Missing'}
DS2TVB6,{'.': 'Missing'}
DS2TVB12,{'.': 'Missing'}
DS2TFA,{'.': 'Missing'}
DS2TFDFE,{'.': 'Missing'}
DS2TCHL,{'.': 'Missing'}
DS2TVC,{'.': 'Missing'}
DS2TVK,{'.': 'Missing'}
DS2TVD,{'.': 'Missing'}
DS2TPHOS,{'.': 'Missing'}
DS2TMAGN,{'.': 'Missing'}
DS2TIRON,{'.': 'Missing'}
DS2TZINC,{'.': 'Missing'}
DS2TCOPP,{'.': 'Missing'}
DS2TSODI,{'.': 'Missing'}
DS2TPOTA,{'.': 'Missing'}
DS2TSELE,{'.': 'Missing'}
DS2TCAFF,{'.': 'Missing'}
DS2TIODI,{'.': 'Missing'}
DSDCOUNT,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DSDANCNT,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
DSD010,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DSD010AN,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
DSQTKCAL,{'.': 'Missing'}
DSQTPROT,{'.': 'Missing'}
DSQTCARB,{'.': 'Missing'}
DSQTSUGR,{'.': 'Missing'}
DSQTFIBE,{'.': 'Missing'}
DSQTTFAT,{'.': 'Missing'}
DSQTSFAT,{'.': 'Missing'}
DSQTMFAT,{'.': 'Missing'}
DSQTPFAT,{'.': 'Missing'}
DSQTCHOL,{'.': 'Missing'}
DSQTLYCO,{'.': 'Missing'}
DSQTLZ,{'.': 'Missing'}
DSQTVB1,{'.': 'Missing'}
DSQTVB2,{'.': 'Missing'}
DSQTNIAC,{'.': 'Missing'}
DSQTVB6,{'.': 'Missing'}
DSQTFA,{'.': 'Missing'}
DSQTFDFE,{'.': 'Missing'}
DSQTCHL,{'.': 'Missing'}
DSQTVB12,{'.': 'Missing'}
DSQTVC,{'.': 'Missing'}
DSQTVK,{'.': 'Missing'}
DSQTVD,{'.': 'Missing'}
DSQTPHOS,{'.': 'Missing'}
DSQTMAGN,{'.': 'Missing'}
DSQTIRON,{'.': 'Missing'}
DSQTZINC,{'.': 'Missing'}
DSQTCOPP,{'.': 'Missing'}
DSQTSODI,{'.': 'Missing'}
DSQTPOTA,{'.': 'Missing'}
DSQTSELE,{'.': 'Missing'}
DSQTCAFF,{'.': 'Missing'}
DSQTIODI,{'.': 'Missing'}
AUAEXSTS,"{1: 'Complete', 2: 'Partial', 3: 'Not done', '.': 'Missing'}"
AUAEXCMT,"{2: 'SP refusal', 3: 'No time', 4: 'Physical limitation', 5: 'Communication problem', 6: 'Equipment failure', 7: 'SP ill/emergency', 14: 'Interrupted', 51: 'SP unable to comply', 56: 'Came late/left early', 72: 'Error (technician/software/supply)', 99: 'Other, specify', 122: 'Language barrier', 150: 'SP with parent SP', '.': 'Missing'}"
AUQ011,"{1: 'Yes, right ear', 2: 'Yes, left ear', 3: 'Yes, both ears', 4: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ540,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ550,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ550A,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ550B,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ550C,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ550D,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ550E,"{1: 'Yes (checkbox checked)', 2: 'No (checkbox unchecked)', 9: ""Don't know"", '.': 'Missing'}"
AUQ560,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ570,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
AUQ580,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
