Variable,DataType,Label,Plain Description,Target
FIAINTRP,demographics,Interpreter used in Family Interview?,Was an interpreter used to conduct the Family interview?,Both males and females 0 YEARS -150 YEARS
MIALANG,demographics,Language of MEC Interview,Language of the MEC CAPI Interview Instrument,Both males and females 8 YEARS -150 YEARS
MIAPROXY,demographics,Proxy used in MEC Interview?,Was a Proxy respondent used in conducting the MEC CAPI Interview?,Both males and females 8 YEARS -150 YEARS
MIAINTRP,demographics,Interpreter used in MEC Interview?,Was an interpreter used to conduct the MEC CAPI interview?,Both males and females 8 YEARS -150 YEARS
AIALANGA,demographics,Language of ACASI Interview,Language of the MEC ACASI Interview Instrument,Both males and females 8 YEARS -69 YEARS
DMDHHSIZ,demographics,Total number of people in the Household,Total number of people in the Household,Both males and females 0 YEARS -150 YEARS
DMDFMSIZ,demographics,Total number of people in the Family,Total number of people in the Family,Both males and females 0 YEARS -150 YEARS
DMDHHSZA,demographics,# of children 5 years or younger in HH,Number of children aged 5 years or younger in the household,Both males and females 0 YEARS -150 YEARS
DMDHHSZB,demographics,# of children 6-17 years old in HH,Number of children aged 6-17 years old in the household,Both males and females 0 YEARS -150 YEARS
DMDHHSZE,demographics,# of adults 60 years or older in HH,Number of adults aged 60 years or older in the household,Both males and females 0 YEARS -150 YEARS
DMDHRGND,demographics,HH ref person's gender,HH reference person's gender,Both males and females 0 YEARS -150 YEARS
DMDHRAGZ,demographics,HH ref person's age in years,HH reference person's age in years,Both males and females 0 YEARS -150 YEARS
DMDHREDZ,demographics,HH ref person's education level,HH reference person's education level,Both males and females 0 YEARS -150 YEARS
DMDHRMAZ,demographics,HH ref person's marital status,HH reference person's marital status,Both males and females 0 YEARS -150 YEARS
DMDHSEDZ,demographics,HH ref person's spouse's education level,HH reference person's spouse's education level,Both males and females 0 YEARS -150 YEARS
WTINT2YR,demographics,Full sample 2 year interview weight,Full sample 2 year interview weight.,Both males and females 0 YEARS -150 YEARS
WTMEC2YR,demographics,Full sample 2 year MEC exam weight,Full sample 2 year MEC exam weight.,Both males and females 0 YEARS -150 YEARS
SDMVPSU,demographics,Masked variance pseudo-PSU,Masked variance unit pseudo-PSU variable for variance estimation,Both males and females 0 YEARS -150 YEARS
SDMVSTRA,demographics,Masked variance pseudo-stratum,Masked variance unit pseudo-stratum variable for variance estimation,Both males and females 0 YEARS -150 YEARS
INDHHIN2,demographics,Annual household income,Total household income (reported as a range value in dollars),Both males and females 0 YEARS -150 YEARS
INDFMIN2,demographics,Annual family income,Total family income (reported as a range value in dollars),Both males and females 0 YEARS -150 YEARS
INDFMPIR,demographics,Ratio of family income to poverty,A ratio of family income to poverty guidelines.,Both males and females 0 YEARS -150 YEARS
WTDRD1,questionnaire,Dietary day one sample weight,Dietary day one sample weight,Both males and females 1 YEARS -15 YEARS
WTDR2D,dietary,Dietary two-day sample weight,Dietary two-day sample weight,Both males and females 0 YEARS -150 YEARS
DR1DRSTZ,dietary,Dietary recall status,Dietary recall status,Both males and females 0 YEARS -150 YEARS
DR1EXMER,dietary,Interviewer ID code,Interviewer ID code,Both males and females 0 YEARS -150 YEARS
DRABF,dietary,Breast-fed infant (either day),Indicates whether the sample person was an infant who was breast-fed on either of the two recall days.,Both males and females 0 YEARS -150 YEARS
DRDINT,dietary,Number of days of intake,Indicates whether the sample person has intake data for one or two days.,Both males and females 0 YEARS -150 YEARS
DR1DBIH,dietary,# of days b/w intake and HH interview,# of days b/w intake and HH interview,Both males and females 0 YEARS -150 YEARS
DR1DAY,dietary,Intake day of the week,Intake day of the week,Both males and females 0 YEARS -150 YEARS
DR1LANG,dietary,Language respondent used mostly,The respondent spoke mostly:,Both males and females 0 YEARS -150 YEARS
DR1MRESP,dietary,Main respondent for this interview,Who was the main respondent for this interview?,Both males and females 0 YEARS -150 YEARS
DR1HELP,dietary,Helped in responding for this interview,Who helped in responding for this interview,Both males and females 0 YEARS -150 YEARS
DBQ095Z,dietary,Type of table salt used,What type of salt {do you/does SP} usually add to {your/his/her/SP's} food at the table?  Would you say . . .,Both males and females 0 YEARS -150 YEARS
DBD100,dietary,How often add salt to food at table,How often {do you/does SP} add this salt to {your/his/her/SP's} food at the table?  Would you say . . .,Both males and females 0 YEARS -150 YEARS
DRQSPREP,dietary,Salt used in preparation?,"How often is ordinary salt or seasoned salt added in cooking or preparing foods in your household?  Is it never, rarely, occasionally, or very often?",Both males and females 0 YEARS -150 YEARS
DR1STY,dietary,Salt used at table yesterday?,"Did {you/SP} add any salt to {your/her/his} food at the table yesterday? Salt includes ordinary or sea salt, lite salt, or a salt substitute.",Both males and females 0 YEARS -150 YEARS
DR1SKY,dietary,Type of salt used yesterday,"What type of salt was it? (Was it ordinary or sea salt, lite salt, or a salt substitute?)",Both males and females 0 YEARS -150 YEARS
DRQSDIET,dietary,On special diet?,"Are you currently on any kind of diet, either to lose weight or for some other health-related reason?",Both males and females 0 YEARS -150 YEARS
DRQSDT1,dietary,Weight loss/Low calorie diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT2,dietary,Low fat/Low cholesterol diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT3,dietary,Low salt/Low sodium diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT4,dietary,Sugar free/Low sugar diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT5,dietary,Low fiber diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT6,dietary,High fiber diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT7,dietary,Diabetic diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT8,dietary,Weight gain/Muscle building diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT9,dietary,Low carbohydrate diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT10,dietary,High protein diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT11,dietary,Gluten-free/Celiac diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT12,dietary,Renal/Kidney diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DRQSDT91,dietary,Other special diet,What kind of diet are you on? (Is it a weight loss or low calorie diet: low fat or cholesterol diet; low salt or sodium diet; sugar free or low sugar diet; low fiber diet; high fiber diet; diabetic diet; or another type of diet?),Both males and females 0 YEARS -150 YEARS
DR1TNUMF,dietary,Number of foods/beverages reported,Total number of foods/beverages reported in the individual foods file,Both males and females 0 YEARS -150 YEARS
DR1TKCAL,dietary,Energy (kcal),Energy (kcal),Both males and females 0 YEARS -150 YEARS
DR1TPROT,dietary,Protein (gm),Protein (gm),Both males and females 0 YEARS -150 YEARS
DR1TCARB,dietary,Carbohydrate (gm),Carbohydrate (gm),Both males and females 0 YEARS -150 YEARS
DR1TSUGR,dietary,Total sugars (gm),Total sugars (gm),Both males and females 0 YEARS -150 YEARS
DR1TFIBE,dietary,Dietary fiber (gm),Dietary fiber (gm),Both males and females 0 YEARS -150 YEARS
DR1TTFAT,dietary,Total fat (gm),Total fat (gm),Both males and females 0 YEARS -150 YEARS
DR1TSFAT,dietary,Total saturated fatty acids (gm),Total saturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DR1TMFAT,dietary,Total monounsaturated fatty acids (gm),Total monounsaturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DR1TPFAT,dietary,Total polyunsaturated fatty acids (gm),Total polyunsaturated fatty acids (gm),Both males and females 0 YEARS -150 YEARS
DR1TCHOL,dietary,Cholesterol (mg),Cholesterol (mg),Both males and females 0 YEARS -150 YEARS
DR1TATOC,dietary,Vitamin E as alpha-tocopherol (mg),Vitamin E as alpha-tocopherol (mg),Both males and females 0 YEARS -150 YEARS
DR1TATOA,dietary,Added alpha-tocopherol (Vitamin E) (mg),Added alpha-tocopherol (Vitamin E) (mg),Both males and females 0 YEARS -150 YEARS
DR1TRET,dietary,Retinol (mcg),Retinol (mcg),Both males and females 0 YEARS -150 YEARS
DR1TVARA,dietary,"Vitamin A, RAE (mcg)",Vitamin A as retinol activity equivalents (mcg),Both males and females 0 YEARS -150 YEARS
DR1TACAR,dietary,Alpha-carotene (mcg),Alpha-carotene (mcg),Both males and females 0 YEARS -150 YEARS
DR1TBCAR,dietary,Beta-carotene (mcg),Beta-carotene (mcg),Both males and females 0 YEARS -150 YEARS
DR1TCRYP,dietary,Beta-cryptoxanthin (mcg),Beta-cryptoxanthin (mcg),Both males and females 0 YEARS -150 YEARS
DR1TLYCO,dietary,Lycopene (mcg),Lycopene (mcg),Both males and females 0 YEARS -150 YEARS
DR1TLZ,dietary,Lutein + zeaxanthin (mcg),Lutein + zeaxanthin (mcg),Both males and females 0 YEARS -150 YEARS
DR1TVB1,dietary,Thiamin (Vitamin B1) (mg),Thiamin (Vitamin B1) (mg),Both males and females 0 YEARS -150 YEARS
DR1TVB2,dietary,Riboflavin (Vitamin B2) (mg),Riboflavin (Vitamin B2) (mg),Both males and females 0 YEARS -150 YEARS
DR1TNIAC,dietary,Niacin (mg),Niacin (mg),Both males and females 0 YEARS -150 YEARS
DR1TVB6,dietary,Vitamin B6 (mg),Vitamin B6 (mg),Both males and females 0 YEARS -150 YEARS
DR1TFOLA,dietary,Total folate (mcg),Total folate (mcg),Both males and females 0 YEARS -150 YEARS
DR1TFA,dietary,Folic acid (mcg),Folic acid (mcg),Both males and females 0 YEARS -150 YEARS
DR1TFF,dietary,Food folate (mcg),Food folate (mcg),Both males and females 0 YEARS -150 YEARS
DR1TFDFE,dietary,"Folate, DFE (mcg)",Folate as dietary folate equivalents (mcg),Both males and females 0 YEARS -150 YEARS
DR1TCHL,dietary,Total choline (mg),Total choline (mg),Both males and females 0 YEARS -150 YEARS
DR1TVB12,dietary,Vitamin B12 (mcg),Vitamin B12 (mcg),Both males and females 0 YEARS -150 YEARS
DR1TB12A,dietary,Added vitamin B12 (mcg),Added vitamin B12 (mcg),Both males and females 0 YEARS -150 YEARS
DR1TVC,dietary,Vitamin C (mg),Vitamin C (mg),Both males and females 0 YEARS -150 YEARS
DR1TVD,dietary,Vitamin D (D2 + D3) (mcg),Vitamin D (D2 + D3) (mcg),Both males and females 0 YEARS -150 YEARS
DR1TVK,dietary,Vitamin K (mcg),Vitamin K (mcg),Both males and females 0 YEARS -150 YEARS
DR1TPHOS,dietary,Phosphorus (mg),Phosphorus (mg),Both males and females 0 YEARS -150 YEARS
DR1TMAGN,dietary,Magnesium (mg),Magnesium (mg),Both males and females 0 YEARS -150 YEARS
DR1TIRON,dietary,Iron (mg),Iron (mg),Both males and females 0 YEARS -150 YEARS
DR1TZINC,dietary,Zinc (mg),Zinc (mg),Both males and females 0 YEARS -150 YEARS
DR1TCOPP,dietary,Copper (mg),Copper (mg),Both males and females 0 YEARS -150 YEARS
DR1TSODI,dietary,Sodium (mg),Sodium (mg),Both males and females 0 YEARS -150 YEARS
DR1TPOTA,dietary,Potassium (mg),Potassium (mg),Both males and females 0 YEARS -150 YEARS
DR1TSELE,dietary,Selenium (mcg),Selenium (mcg),Both males and females 0 YEARS -150 YEARS
DR1TCAFF,dietary,Caffeine (mg),Caffeine (mg),Both males and females 0 YEARS -150 YEARS
DR1TTHEO,dietary,Theobromine (mg),Theobromine (mg),Both males and females 0 YEARS -150 YEARS
DR1TALCO,dietary,Alcohol (gm),Alcohol (gm),Both males and females 0 YEARS -150 YEARS
DR1TMOIS,dietary,Moisture (gm),Moisture (gm),Both males and females 0 YEARS -150 YEARS
DR1TS040,dietary,SFA 4:0 (Butanoic) (gm),SFA 4:0 (Butanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS060,dietary,SFA 6:0 (Hexanoic) (gm),SFA 6:0 (Hexanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS080,dietary,SFA 8:0 (Octanoic) (gm),SFA 8:0 (Octanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS100,dietary,SFA 10:0 (Decanoic) (gm),SFA 10:0 (Decanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS120,dietary,SFA 12:0 (Dodecanoic) (gm),SFA 12:0 (Dodecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS140,dietary,SFA 14:0 (Tetradecanoic) (gm),SFA 14:0 (Tetradecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS160,dietary,SFA 16:0 (Hexadecanoic) (gm),SFA 16:0 (Hexadecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TS180,dietary,SFA 18:0 (Octadecanoic) (gm),SFA 18:0 (Octadecanoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TM161,dietary,MFA 16:1 (Hexadecenoic) (gm),MFA 16:1 (Hexadecenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TM181,dietary,MFA 18:1 (Octadecenoic) (gm),MFA 18:1 (Octadecenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TM201,dietary,MFA 20:1 (Eicosenoic) (gm),MFA 20:1 (Eicosenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TM221,dietary,MFA 22:1 (Docosenoic) (gm),MFA 22:1 (Docosenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP182,dietary,PFA 18:2 (Octadecadienoic) (gm),PFA 18:2 (Octadecadienoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP183,dietary,PFA 18:3 (Octadecatrienoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP184,dietary,PFA 18:4 (Octadecatetraenoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP204,dietary,PFA 20:4 (Eicosatetraenoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP205,dietary,PFA 20:5 (Eicosapentaenoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP225,dietary,PFA 22:5 (Docosapentaenoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1TP226,dietary,PFA 22:6 (Docosahexaenoic) (gm),PFA 22:6 (Docosahexaenoic) (gm),Both males and females 0 YEARS -150 YEARS
DR1_300,dietary,Compare food consumed yesterday to usual,"Was the amount of food that {you/NAME} ate yesterday much more than usual, usual, or much less than usual?",Both males and females 0 YEARS -150 YEARS
DR1_320Z,dietary,Total plain water drank yesterday (gm),"Total plain water drank yesterday - including plain tap water, water from a drinking fountain, water from a water cooler, bottled water, and spring water.",Both males and females 0 YEARS -150 YEARS
DR1_330Z,dietary,Total tap water drank yesterday (gm),Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.,Both males and females 0 YEARS -150 YEARS
DR1BWATZ,dietary,Total bottled water drank yesterday (gm),Total bottled water drank yesterday (gm),Both males and females 0 YEARS -150 YEARS
DR1TWSZ,dietary,Tap water source,"When you drink tap water, what is the main source of the tap water?",Both males and females 0 YEARS -150 YEARS
DRD340,dietary,Shellfish eaten during past 30 days,"Please look at this list of shellfish. During the past 30 days did you eat any types of shellfish listed on this card? Include any foods that had shellfish in them such as sandwiches, soups, or salads.",Both males and females 1 YEARS -150 YEARS
DRD350A,dietary,Clams eaten during past 30 days,Clams eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350AQ,dietary,# of times clams eaten in past 30 days,Number of times clams were eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350B,dietary,Crabs eaten during past 30 days,Crabs eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350BQ,dietary,# of times crabs eaten in past 30 days,Number of times crab was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350C,dietary,Crayfish eaten during past 30 days,Crayfish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350CQ,dietary,# of times crayfish eaten past 30 days,Number of times crayfish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350D,dietary,Lobsters eaten during past 30 days,Lobsters eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350DQ,dietary,# of times lobsters eaten past 30 days,Number of times lobster was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350E,dietary,Mussels eaten during past 30 days,Mussels eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350EQ,dietary,# of times mussels eaten in past 30 days,Number of times mussels were eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350F,dietary,Oysters eaten during past 30 days,Oysters eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350FQ,dietary,# of times oysters eaten in past 30 days,Number of times oysters were eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350G,dietary,Scallops eaten during past 30 days,Scallops eaten during the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350GQ,dietary,# of times scallops eaten past 30 days,Number of times scallops were eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350H,dietary,Shrimp eaten during past 30 days,Shrimp eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350HQ,dietary,# of times shrimp eaten in past 30 days,Number of times shrimp was eaten in the last 30 days,Both males and females 1 YEARS -150 YEARS
DRD350I,dietary,Other shellfish eaten past 30 days,"Other shellfish ( ex. octopus, squid) eaten during past 30 days",Both males and females 1 YEARS -150 YEARS
DRD350IQ,dietary,# of times other shellfish eaten,"Number of times other shellfish (ex. octopus, squid) was eaten in the past 30 days",Both males and females 1 YEARS -150 YEARS
DRD350J,dietary,Other unknown shellfish eaten past 30 d,Other unknown shellfish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350JQ,dietary,# of times other unknown shellfish eaten,Number of times other unknown shellfish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD350K,dietary,Refused on shellfish eaten past 30 days,Refused to give detailed information on shellfish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD360,dietary,Fish eaten during past 30 days,"Please look at this list of fish. During the past 30 days did you eat any types of fish listed on this card? Include any foods that had fish in them such as sandwiches, soups, or salads.",Both males and females 1 YEARS -150 YEARS
DRD370A,dietary,Breaded fish products eaten past 30 days,Breaded fish products eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370AQ,dietary,# of times breaded fish products eaten,Number of times breaded fish products were eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370B,dietary,Tuna eaten during past 30 days,Tuna eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370BQ,dietary,# of times tuna eaten in past 30 days,Number of times tuna was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370C,dietary,Bass eaten during past 30 days,Bass eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370CQ,dietary,# of times bass eaten in past 30 days,Number of times bass was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370D,dietary,Catfish eaten during past 30 days,Catfish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370DQ,dietary,# of times catfish eaten in past 30 days,Number of times catfish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370E,dietary,Cod eaten during past 30 days,Cod eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370EQ,dietary,# of times cod eaten in past 30 days,Number of times cod was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370F,dietary,Flatfish eaten during past 30 days,Flatfish eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370FQ,dietary,# of times flatfish eaten past 30 days,Number of times flatfish was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370G,dietary,Haddock eaten during past 30 days,Haddock eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370GQ,dietary,# of times haddock eaten in past 30 days,Number of times haddock was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370H,dietary,Mackerel eaten during past 30 days,Mackerel eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370HQ,dietary,# of times mackerel eaten past 30 days,Number of times mackerel was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370I,dietary,Perch eaten during past 30 days,Perch eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370IQ,dietary,# of times perch eaten in past 30 days,Number of times perch was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370J,dietary,Pike eaten during past 30 days,Pike eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370JQ,dietary,# of times pike eaten in past 30 days,Number of times pike was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370K,dietary,Pollock eaten during past 30 days,Pollock eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370KQ,dietary,# of times pollock eaten in past 30 days,Number of times pollock was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370L,dietary,Porgy eaten during past 30 days,Porgy eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370LQ,dietary,# of times porgy eaten in past 30 days,Number of times porgy was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370M,dietary,Salmon eaten during past 30 days,Salmon eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370MQ,dietary,# of times salmon eaten in past 30 days,Number of times salmon was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370N,dietary,Sardines eaten during past 30 days,Sardines eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370NQ,dietary,# of times sardines eaten past 30 days,Number of times sardines were eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370O,dietary,Sea bass eaten during past 30 days,Sea bass eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370OQ,dietary,# of times sea bass eaten past 30 days,Number of times sea bass was eaten in the past 30 days,Both males and females 1 YEARS -150 YEARS
DRD370P,dietary,Shark eaten during past 30 days,Shark eaten during past 30 days,Both males and females 1 YEARS -150 YEARS
